Sale_ID,Brand,Model_Type,Year,Fuel_Type,Transmission,Color,Region,Units_Sold,Selling Price per unit ,Revenue_USD,Customer_Rating,Dealer_ID,Warranty_Years,manufacture price per unit
29,Kia,Sedan,2015,Diesel,Manual,Silver,West,85,38724,3291540,4.5,2650,4,35024
38,Kia,Truck,2015,Diesel,Manual,Blue,West,397,46522,18469234,4.8,1356,4,42822
83,Nissan,Convertible,2016,Diesel,Automatic,Gray,North,313,21991,6883183,3.1,2651,4,18291
88,Toyota,Convertible,2018,Diesel,Automatic,Black,South,361,54791,19779551,4.3,1954,4,51091
93,Audi,Coupe,2020,Diesel,Manual,Red,East,303,79141,23979723,2.7,4951,4,75441
104,Kia,SUV,2022,Diesel,Manual,Black,North,322,42179,13581638,3.7,7210,4,38479
105,Nissan,Sedan,2013,Diesel,Automatic,White,West,427,62235,26574345,3.3,1877,4,58535
121,Volkswagen,Coupe,2018,Diesel,Automatic,Red,North,344,62175,21388200,3.6,8237,4,58475
142,Kia,Convertible,2024,Diesel,Automatic,Blue,East,155,36611,5674705,3.3,5636,4,32911
179,Honda,Convertible,2012,Diesel,Manual,Blue,South,63,11191,705033,3.7,9106,4,7491
215,Chevrolet,Sedan,2010,Diesel,Automatic,Blue,West,100,68087,6808700,4,3979,4,64387
225,Kia,Coupe,2011,Diesel,Manual,Gray,South,16,71467,1143472,2.6,5326,4,67767
242,Ford,Coupe,2011,Diesel,Manual,White,East,140,24970,3495800,2.8,6612,4,21270
244,Nissan,Coupe,2022,Diesel,Automatic,White,West,328,33103,10857784,3.8,7595,4,29403
249,BMW,Sedan,2010,Diesel,Manual,Black,West,227,56984,12935368,4.2,7522,4,53284
253,Hyundai,Truck,2011,Diesel,Automatic,Red,East,305,14953,4560665,3.2,4836,4,11253
284,Ford,Truck,2018,Diesel,Manual,Blue,South,325,44234,14376050,3.4,6819,4,40534
288,Audi,Sedan,2024,Diesel,Automatic,White,West,160,69097,11055520,2.7,9358,4,65397
304,Audi,SUV,2014,Diesel,Manual,Blue,East,235,59884,14072740,4.3,1066,4,56184
305,Ford,Truck,2023,Diesel,Automatic,Silver,South,140,75670,10593800,4.4,8901,4,71970
331,Hyundai,Hatchback,2021,Diesel,Manual,Silver,East,302,77173,23306246,3.7,2242,4,73473
332,Kia,Hatchback,2021,Diesel,Automatic,Blue,South,213,23916,5094108,3,9304,4,20216
333,Volkswagen,Convertible,2023,Diesel,Automatic,Blue,West,220,40926,9003720,4,4766,4,37226
337,Honda,SUV,2013,Diesel,Manual,Silver,East,320,26966,8629120,4.4,7652,4,23266
347,Ford,Coupe,2017,Diesel,Automatic,Red,North,115,12134,1395410,2.5,8055,4,8434
365,Audi,SUV,2015,Diesel,Manual,Gray,East,480,72963,35022240,4.9,8819,4,69263
368,Audi,SUV,2020,Diesel,Automatic,Gray,West,479,73086,35008194,4.2,8758,4,69386
376,Nissan,Hatchback,2012,Diesel,Automatic,Silver,East,485,59036,28632460,2.6,3709,4,55336
381,Toyota,Convertible,2022,Diesel,Manual,White,East,445,37640,16749800,3.5,4816,4,33940
394,Volkswagen,SUV,2022,Diesel,Manual,White,West,349,34060,11886940,2.8,2536,4,30360
455,Nissan,Sedan,2020,Diesel,Automatic,Red,South,173,74124,12823452,4.9,3133,4,70424
467,Volkswagen,Convertible,2023,Diesel,Automatic,White,North,418,35539,14855302,4.1,3823,4,31839
484,Chevrolet,Hatchback,2023,Diesel,Manual,White,North,17,42389,720613,4.4,3637,4,38689
493,Nissan,SUV,2017,Diesel,Automatic,White,South,282,68879,19423878,4.4,8140,4,65179
499,Chevrolet,Convertible,2019,Diesel,Manual,Red,South,131,31480,4123880,3.1,3452,4,27780
515,Ford,Hatchback,2021,Diesel,Manual,Black,South,247,21443,5296421,4.9,8579,4,17743
520,Chevrolet,SUV,2018,Diesel,Manual,Silver,East,36,52849,1902564,3.2,9804,4,49149
535,Kia,SUV,2018,Diesel,Manual,White,South,341,69677,23759857,4.1,6840,4,65977
566,Volkswagen,SUV,2017,Diesel,Automatic,Silver,East,78,50503,3939234,4.6,7188,4,46803
569,Kia,Convertible,2017,Diesel,Manual,Silver,West,327,47853,15647931,4.6,9338,4,44153
583,Toyota,Coupe,2021,Diesel,Automatic,Silver,West,212,63751,13515212,4.6,6770,4,60051
599,Toyota,Sedan,2020,Diesel,Automatic,Red,South,473,55534,26267582,3.2,4088,4,51834
